Date,Open,High,Low,Close,Adj Close,Volume
2001-03-01,44.664841,44.664841,43.675060,43.899632,14.604308,3025885
2001-03-02,44.074299,44.398678,43.400581,44.041027,14.651345,2580981
2001-03-05,43.891312,44.997540,43.608521,44.997540,14.969556,2497116
2001-03-06,45.097347,47.143448,44.789600,46.669350,15.525720,6363542
2001-03-07,46.744205,47.143448,45.912460,46.311699,15.406743,3711334
2001-03-08,46.577858,46.577858,45.621349,46.062176,15.323729,2682911
2001-03-09,45.954048,46.835697,45.579762,46.394875,15.434415,4097695
2001-03-12,46.228523,46.394875,45.579762,45.687889,15.199219,3005961
2001-03-13,44.972584,45.188839,43.874680,43.899632,14.604308,5728275
2001-03-14,44.290550,44.307186,41.005150,41.961658,13.959593,9290305
2001-03-15,42.410805,43.217598,41.936707,43.217598,14.377411,4275734
2001-03-16,43.250870,44.082615,42.211185,42.627056,14.180954,27821665
2001-03-19,42.627056,43.450485,41.836899,42.094738,14.003863,2820431
2001-03-20,42.876579,43.126106,41.803627,43.076202,14.330374,3421488
2001-03-21,42.211185,42.909851,41.878487,41.920071,13.945757,4516130
2001-03-22,41.712135,41.836899,39.341656,39.923878,13.281675,7060882
2001-03-23,40.422928,41.246357,40.098545,41.005150,13.641389,3918560
2001-03-26,41.362801,42.419121,40.963562,42.177914,14.031534,2973247
2001-03-27,42.144646,43.034615,41.254673,43.034615,14.316538,5473494
2001-03-28,42.627056,42.818359,41.421024,42.211185,14.042603,3734465
2001-03-29,41.878487,42.918167,41.346165,42.918167,14.277798,4072326
2001-03-30,42.918167,43.159374,41.512516,42.128010,14.014933,3289134
2001-04-02,41.803627,42.926487,41.703819,42.710232,14.208623,2905324
2001-04-03,42.568836,43.134422,41.379436,41.811947,13.909790,4139680
2001-04-04,41.296261,41.953342,40.464516,41.379436,13.765900,4588974
2001-04-05,41.678864,42.926487,41.587372,42.577152,14.164351,3514500
2001-04-06,43.084518,43.957851,42.302677,42.918167,14.277798,3863508
2001-04-09,43.084518,44.315506,42.834995,43.882996,14.598776,4161532
2001-04-10,44.124203,45.904140,43.916267,45.579762,15.163241,5474864
2001-04-11,44.997540,45.954048,43.999439,45.954048,15.287761,9823912
2001-04-12,43.957851,44.373726,43.209278,43.791504,15.353482,4932891
2001-04-13,43.791504,43.791504,43.791504,43.791504,15.353482,0
2001-04-16,43.791504,43.791504,43.791504,43.791504,15.353482,0
2001-04-17,43.375629,43.749916,42.585468,43.250870,15.163936,3103114
2001-04-18,43.957851,45.746109,43.417217,45.463318,15.939629,5645187
2001-04-19,45.454998,45.654617,44.748013,45.330238,15.892969,3632784
2001-04-20,45.413410,46.785793,45.388458,45.779381,16.050438,6458334
2001-04-23,45.546490,46.120396,44.648205,45.912460,16.097099,4040156
2001-04-24,45.895824,46.893921,45.413410,46.644398,16.353720,4270278
2001-04-25,46.502998,47.409603,45.188839,45.920776,16.100014,8370613
2001-04-26,45.671253,46.369923,45.230427,46.062176,16.149590,3495536
2001-04-27,45.912460,46.586174,44.689793,45.538174,15.965877,4918417
2001-04-30,45.579762,47.243256,45.039124,46.943829,16.458700,3536213
2001-05-01,46.943829,46.943829,46.943829,46.943829,16.458700,0
